,Keyword,# of articles DSH,# of articles DHQ,# of articles JCA,# of articles JOCCH,Total,Significance,Rank
0,visualization,36,45,3,25,109,1.0,1
1,data,27,31,7,37,102,1.0,2
2,analysis,1,22,3,3,29,0.95,3
3,big data,5,10,0,1,16,0.9,4
4,computational tools,23,29,13,6,71,0.85,5
5,application,7,13,0,15,35,0.85,6
6,information,3,10,4,15,32,0.85,7
7,clustering,1,12,0,5,18,0.85,8
8,correlation,2,13,2,1,18,0.85,9
9,model,9,24,1,33,67,0.8,10
10,interpretation,17,31,1,9,58,0.8,11
11,interface,15,13,0,15,43,0.8,12
12,classification,5,22,1,5,33,0.8,13
13,distribution,2,20,2,4,28,0.8,14
14,frequency,2,21,1,2,26,0.8,15
15,insight,5,7,1,8,21,0.8,16
16,classifier,0,13,0,4,17,0.8,17
17,text mining,4,9,1,1,15,0.8,18
18,user experience,2,0,0,13,15,0.8,19
19,usability,3,3,0,7,13,0.8,20
20,cluster,2,9,0,1,12,0.8,21
21,shape,1,1,0,9,11,0.8,22
22,processing,0,5,0,5,10,0.8,23
23,software tools,1,7,0,2,10,0.8,24
24,user,3,1,1,5,10,0.8,25
25,table,0,7,1,1,9,0.8,26
26,evaluate,1,0,0,7,8,0.8,27
27,rendering,0,0,0,7,7,0.8,28
28,coding,4,2,0,0,6,0.8,29
29,annotation,8,29,4,13,54,0.75,30
30,analyzing,8,1,1,4,14,0.75,31
31,topic modeling,5,5,2,0,12,0.75,32
32,information technology,0,7,0,2,9,0.75,33
33,algorithm,7,41,0,20,68,0.7,34
34,database,11,41,1,13,66,0.7,35
35,metadata,10,22,2,25,59,0.7,36
36,technology,15,26,0,16,57,0.7,37
37,software,7,32,0,8,47,0.7,38
38,machine learning,8,21,5,11,45,0.7,39
39,design,9,16,0,17,42,0.7,40
40,image,9,13,1,17,40,0.7,41
41,challenge,15,7,0,17,39,0.7,42
42,structure,8,16,0,7,31,0.7,43
43,approach,8,8,0,12,28,0.7,44
44,interaction,3,11,1,10,25,0.7,45
45,effectiveness,1,4,0,19,24,0.7,46
46,feature,4,14,1,4,23,0.7,47
47,comparison,4,13,0,5,22,0.7,48
48,prototype,5,6,0,8,19,0.7,49
49,computer science,6,10,0,1,17,0.7,50
